spatial_window_size,temporal_sequence_length,stride,spatial_weight,temporal_weight,threshold,nominal_false_positive_count,anomalous_recall,anomalous_precision,anomalous_f1,anomalous_accuracy,nominal_accuracy
12,8,4,0.5,0.5,0.21804510056972504,24,1.0,0.358974358974359,0.5283018867924528,0.8842592592592593,0.9722222222222222
18,8,4,0.5,0.5,0.21150737069547176,22,1.0,0.345679012345679,0.5137614678899083,0.8773148148148148,0.9745370370370371
18,8,4,0.6,0.4,0.18843295499682422,22,1.0,0.345679012345679,0.5137614678899083,0.8773148148148148,0.9745370370370371
12,8,4,0.6,0.4,0.1788657158613205,20,1.0,0.34146341463414637,0.5090909090909091,0.875,0.9768518518518519
12,12,4,0.6,0.4,0.1817099153995514,24,1.0,0.28,0.43750000000000006,0.8333333333333334,0.9722222222222222
18,12,4,0.5,0.5,0.202196454256773,22,1.0,0.26666666666666666,0.4210526315789474,0.8217592592592593,0.9745370370370371
18,12,4,0.6,0.4,0.18547568209469315,22,1.0,0.26666666666666666,0.4210526315789474,0.8217592592592593,0.9745370370370371
12,12,4,0.5,0.5,0.19236966967582703,24,1.0,0.25925925925925924,0.4117647058823529,0.8148148148148148,0.9722222222222222
